Country Name,Country Code,Series Name,,1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Germany,DEU,"Inflation, consumer prices (annual %)",,4.246631023,3.734162406,2.718696961,4.043620065,5.441057545,6.344242777,5.241045072,3.293414743,2.405793399,2.066233012,-0.129413361,0.249906109,1.27411894,2.780569556,2.696468243,4.047032598,5.056977967,4.474576508,2.693056399,1.706160413,1.44972702,1.939371989,0.911183535,0.585433064,1.440268387,1.983857313,1.420806156,1.034222186,1.665736967,1.546911148,1.577426428,2.298344007,2.628379816,0.312739007,1.103810378,2.075172837,2.008488848,1.504723303,0.906794,0.514426137,0.491747008,1.509494851,1.732168798,1.445659769,0.144877926,3.066666667,6.872574386,5.946436677,2.256498143,..
Germany,DEU,"Unemployment, total (% of total labor force) (national estimate)",,..,..,..,..,..,..,..,6.449,6.673,6.875,6.608,6.813,6.319,5.705,4.89,5.316,6.323,7.675,8.727,8.158,8.822,9.861,9.787,8.854,7.917,7.773,8.482,9.779,10.727,11.193,10.277,8.732,7.508,7.88,7.043,5.967,5.372,5.316,4.979,4.612,4.104,3.781,3.384,3.163,3.881,3.594,3.137,3.071,3.372,..
Germany,DEU,GDP (current US$),,5.21659E+11,6.02698E+11,7.43183E+11,8.84574E+11,9.53772E+11,8.03405E+11,7.79422E+11,7.73508E+11,7.27768E+11,7.35219E+11,1.05009E+12,1.30293E+12,1.40637E+12,1.40409E+12,1.77816E+12,1.87579E+12,2.14138E+12,2.07895E+12,2.21528E+12,2.59305E+12,2.50658E+12,2.21879E+12,2.24776E+12,2.21387E+12,1.96698E+12,1.96638E+12,2.10235E+12,2.53472E+12,2.85232E+12,2.89339E+12,3.04631E+12,3.48406E+12,3.8082E+12,3.47855E+12,3.46709E+12,3.82358E+12,3.59648E+12,3.80702E+12,3.96487E+12,3.4251E+12,3.53679E+12,3.76535E+12,4.05543E+12,3.95989E+12,3.9414E+12,4.35525E+12,4.20102E+12,4.56221E+12,4.68559E+12,..
Germany,DEU,Population growth (annual %),,-0.428766875,-0.226376663,-0.087031415,0.044207406,0.207430406,0.152308489,-0.095113437,-0.262152572,-0.345666402,-0.223489902,0.045768064,0.153617575,0.39067896,0.773336991,0.861969449,0.728605547,0.760346947,0.657391218,0.346856649,0.293904444,0.289474899,0.146313282,0.015143651,0.064634578,0.1354316,0.168225361,0.168128319,0.055363304,-0.021709728,-0.056778262,-0.112797498,-0.133718573,-0.190142845,-0.25338341,-0.153198447,-1.853714629,0.187727801,0.272900215,0.416877359,0.865702644,0.807218539,0.37372456,0.300526702,0.225519874,0.081693159,0.042327057,-0.02195657,0.131511079,0.274957829,..
Germany,DEU,"Population, female (% of total population)",,52.57476583,52.57343172,52.54747789,52.48993572,52.39999553,52.33480403,52.31386206,52.29590653,52.27577627,52.2380277,52.16729013,52.04845298,51.92831582,51.82855356,51.72595625,51.62951422,51.5045574,51.4128379,51.38902441,51.36345464,51.33346154,51.38783472,51.38505749,51.31895335,51.32959284,51.32942556,51.32031752,51.33414804,51.34428321,51.37888006,51.3231945,51.22300471,51.21196164,51.24848147,51.27630669,51.23261589,51.12635277,51.01396282,50.93788617,50.77600817,50.65038766,50.63716242,50.62440486,50.62001202,50.62552622,50.63226577,50.63212433,50.6248191,50.61865125,..
Germany,DEU,"Population, male (% of total population)",,47.42523417,47.42656828,47.45252211,47.51006428,47.60000447,47.66519597,47.68613794,47.70409347,47.72422373,47.7619723,47.83270987,47.95154702,48.07168418,48.17144644,48.27404375,48.37048578,48.4954426,48.5871621,48.61097559,48.63654536,48.66653846,48.61216528,48.61494251,48.68104665,48.67040716,48.67057444,48.67968248,48.66585196,48.65571679,48.62111994,48.6768055,48.77699529,48.78803836,48.75151853,48.72369331,48.76738411,48.87364723,48.98603718,49.06211383,49.22399183,49.34961234,49.36283758,49.37559514,49.37998798,49.37447378,49.36773423,49.36787567,49.3751809,49.38134875,..
Germany,DEU,"Population, total",,78336950,78159814,78091820,78126350,78288576,78407907,78333366,78128282,77858685,77684873,77720436,77839920,78144619,78751283,79433029,80013896,80624598,81156363,81438348,81678051,81914831,82034771,82047195,82100243,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83177813,83287273,83516593,..
Germany,DEU,Expense (% of GDP),,24.55190411,24.62702379,24.61640558,24.16399696,25.29188077,26.07530963,26.31568934,25.89789091,26.10112847,25.67152281,25.25284539,25.66291589,25.45250005,24.46768244,24.59557461,30.97216027,31.16334969,31.68971286,31.74666217,38.21819751,32.32997677,31.79495522,31.57854137,31.35198629,31.01077167,30.41748462,30.82397812,31.16359709,29.98617556,30.00417077,28.69749977,27.53207826,27.80529723,30.44555468,30.75671253,28.31417848,27.94450716,27.99698585,27.51604137,27.43650046,27.37485173,27.52267402,27.36449594,27.88043355,32.15059466,32.66852056,31.1748914,..,..,..
Germany,DEU,Exports of goods and services (% of GDP),,17.99619233,17.9048238,17.56304415,17.750139,18.54341093,20.05069719,20.78279838,20.20661401,21.63478329,22.84314787,21.19818707,20.59660396,21.00195884,22.20643588,22.74041178,23.56601177,22.08954962,19.8790217,20.60570614,21.48152827,22.28216908,24.70139997,25.66016091,26.02987618,29.68065325,30.56041138,31.19045049,31.26784511,33.93521264,35.95314979,38.96944992,40.63680563,40.94887382,35.45451629,39.49534654,41.64362866,42.68558344,41.68028383,41.69366755,42.58539762,41.63554195,42.2029576,42.49689141,42.34024448,39.11980688,42.51983793,45.62840434,42.96726242,41.43405937,..
Germany,DEU,GDP (constant 2015 US$),,1.67039E+12,1.7263E+12,1.77824E+12,1.85204E+12,1.87813E+12,1.88807E+12,1.88062E+12,1.91019E+12,1.96411E+12,2.00983E+12,2.05581E+12,2.08463E+12,2.16191E+12,2.24615E+12,2.36419E+12,2.48496E+12,2.535E+12,2.51033E+12,2.57552E+12,2.61428E+12,2.64141E+12,2.69039E+12,2.74677E+12,2.80527E+12,2.88596E+12,2.93318E+12,2.92649E+12,2.91098E+12,2.94481E+12,2.97089E+12,3.08576E+12,3.17491E+12,3.2031E+12,3.0255E+12,3.1506E+12,3.269E+12,3.28415E+12,3.29719E+12,3.36907E+12,3.4251E+12,3.50121E+12,3.59917E+12,3.64005E+12,3.67564E+12,3.52376E+12,3.66154E+12,3.72779E+12,3.69537E+12,3.67705E+12,..
